date,count
2010-01-01,215
2010-01-02,
2010-01-03,313
2010-01-04,324
2010-01-05,337
2010-01-06,397
2010-01-07,
2010-01-08,317
2010-01-09,290
2010-01-10,339
2010-01-11,
2010-01-12,
2010-01-13,
2010-01-14,
2010-01-15,
2010-01-16,
2010-01-17,
2010-01-18,
2010-01-19,404
2010-01-20,
2010-01-21,382
2010-01-22,375
2010-01-23,
2010-01-24,
2010-01-25,
2010-01-26,
2010-01-27,
2010-01-28,
2010-01-29,
2010-01-30,323
2010-01-31,
2010-02-01,
2010-02-02,
2010-02-03,
2010-02-04,
2010-02-05,
2010-02-06,
2010-02-07,
2010-02-08,
2010-02-09,408
2010-02-10,
2010-02-11,449
2010-02-12,
2010-02-13,
2010-02-14,
2010-02-15,
2010-02-16,
2010-02-17,383
2010-02-18,
2010-02-19,
2010-02-20,
2010-02-21,359
2010-02-22,452
2010-02-23,490
2010-02-24,422
2010-02-25,
2010-02-26,407
2010-02-27,
2010-02-28,
2010-03-01,376
2010-03-02,
2010-03-03,
2010-03-04,735
2010-03-05,426
2010-03-06,318
2010-03-07,
2010-03-08,
2010-03-09,
2010-03-10,
2010-03-11,
2010-03-12,
2010-03-13,
2010-03-14,
2010-03-15,
2010-03-16,
2010-03-17,400
2010-03-18,
2010-03-19,
2010-03-20,352
2010-03-21,
2010-03-22,397
2010-03-23,
2010-03-24,
2010-03-25,
2010-03-26,
2010-03-27,
2010-03-28,
2010-03-29,
2010-03-30,474
2010-03-31,441
2010-04-01,
2010-04-02,
2010-04-03,
2010-04-04,
2010-04-05,
2010-04-06,
2010-04-07,500
2010-04-08,
2010-04-09,
2010-04-10,
2010-04-11,
2010-04-12,
2010-04-13,
2010-04-14,406
2010-04-15,
2010-04-16,
2010-04-17,
2010-04-18,
2010-04-19,
2010-04-20,477
2010-04-21,
2010-04-22,520
2010-04-23,
2010-04-24,342
2010-04-25,
2010-04-26,438
2010-04-27,
2010-04-28,
2010-04-29,
2010-04-30,
2010-05-01,
2010-05-02,337
2010-05-03,
2010-05-04,389
2010-05-05,
2010-05-06,
2010-05-07,
2010-05-08,
2010-05-09,312
2010-05-10,
2010-05-11,
2010-05-12,508
2010-05-13,
2010-05-14,
2010-05-15,
2010-05-16,
2010-05-17,
2010-05-18,464
2010-05-19,
2010-05-20,
2010-05-21,
2010-05-22,
2010-05-23,
2010-05-24,
2010-05-25,
2010-05-26,
2010-05-27,
2010-05-28,
2010-05-29,
2010-05-30,
2010-05-31,402
2010-06-01,
2010-06-02,535
2010-06-03,574
2010-06-04,
2010-06-05,
2010-06-06,359
2010-06-07,
2010-06-08,555
2010-06-09,505
2010-06-10,
2010-06-11,
2010-06-12,
2010-06-13,351
2010-06-14,
2010-06-15,495
2010-06-16,
2010-06-17,
2010-06-18,
2010-06-19,
2010-06-20,355
2010-06-21,
2010-06-22,
2010-06-23,
2010-06-24,
2010-06-25,
2010-06-26,
2010-06-27,
2010-06-28,
2010-06-29,
2010-06-30,
2010-07-01,
2010-07-02,
2010-07-03,
2010-07-04,
2010-07-05,
2010-07-06,
2010-07-07,
2010-07-08,458
2010-07-09,454
2010-07-10,
2010-07-11,
2010-07-12,
2010-07-13,486
2010-07-14,
2010-07-15,525
2010-07-16,
2010-07-17,
2010-07-18,
2010-07-19,504
2010-07-20,
2010-07-21,565
2010-07-22,
2010-07-23,515
2010-07-24,381
2010-07-25,
2010-07-26,525
2010-07-27,
2010-07-28,
2010-07-29,574
2010-07-30,
2010-07-31,
2010-08-01,
2010-08-02,
2010-08-03,
2010-08-04,560
2010-08-05,546
2010-08-06,468
2010-08-07,
2010-08-08,
2010-08-09,
2010-08-10,
2010-08-11,
2010-08-12,526
2010-08-13,
2010-08-14,
2010-08-15,
2010-08-16,
2010-08-17,
2010-08-18,
2010-08-19,
2010-08-20,
2010-08-21,
2010-08-22,
2010-08-23,
2010-08-24,603
2010-08-25,
2010-08-26,
2010-08-27,577
2010-08-28,462
2010-08-29,
2010-08-30,
2010-08-31,
2010-09-01,679
2010-09-02,
2010-09-03,
2010-09-04,
2010-09-05,
2010-09-06,
2010-09-07,
2010-09-08,
2010-09-09,645
2010-09-10,
