date,count
2015-01-01,
2015-01-02,
2015-01-03,
2015-01-04,
2015-01-05,
2015-01-06,
2015-01-07,
2015-01-08,13350
2015-01-09,
2015-01-10,9416
2015-01-11,
2015-01-12,13667
2015-01-13,
2015-01-14,14090
2015-01-15,13994
2015-01-16,13293
2015-01-17,
2015-01-18,
2015-01-19,19089
2015-01-20,17817
2015-01-21,
2015-01-22,
2015-01-23,
2015-01-24,
2015-01-25,13234
2015-01-26,
2015-01-27,
2015-01-28,
2015-01-29,
2015-01-30,
2015-01-31,
2015-02-01,10131
2015-02-02,
2015-02-03,
2015-02-04,
2015-02-05,
2015-02-06,
2015-02-07,11391
2015-02-08,11154
2015-02-09,15485
2015-02-10,
2015-02-11,
2015-02-12,
2015-02-13,
2015-02-14,
2015-02-15,
2015-02-16,
2015-02-17,
2015-02-18,
2015-02-19,14690
2015-02-20,
2015-02-21,
2015-02-22,13862
2015-02-23,14296
2015-02-24,14694
2015-02-25,
2015-02-26,
2015-02-27,13856
2015-02-28,
2015-03-01,
2015-03-02,
2015-03-03,
2015-03-04,
2015-03-05,
2015-03-06,
2015-03-07,
2015-03-08,11277
2015-03-09,
2015-03-10,16637
2015-03-11,
2015-03-12,17660
2015-03-13,
2015-03-14,18908
2015-03-15,17185
2015-03-16,22212
2015-03-17,
2015-03-18,
2015-03-19,
2015-03-20,
2015-03-21,
2015-03-22,
2015-03-23,
2015-03-24,
2015-03-25,
2015-03-26,
2015-03-27,
2015-03-28,
2015-03-29,
2015-03-30,
2015-03-31,
2015-04-01,
2015-04-02,
2015-04-03,13966
2015-04-04,
2015-04-05,10611
2015-04-06,15599
2015-04-07,
2015-04-08,18575
2015-04-09,
2015-04-10,
2015-04-11,
2015-04-12,
2015-04-13,
2015-04-14,17957
2015-04-15,
2015-04-16,
2015-04-17,16211
2015-04-18,
2015-04-19,13008
2015-04-20,17423
2015-04-21,
2015-04-22,18231
2015-04-23,17067
2015-04-24,16413
2015-04-25,12699
2015-04-26,
2015-04-27,17112
2015-04-28,
2015-04-29,
2015-04-30,
2015-05-01,
2015-05-02,
2015-05-03,
2015-05-04,16758
2015-05-05,
2015-05-06,
2015-05-07,17231
2015-05-08,
2015-05-09,11358
2015-05-10,11573
2015-05-11,16836
2015-05-12,
2015-05-13,17313
2015-05-14,
2015-05-15,
2015-05-16,
2015-05-17,
2015-05-18,
2015-05-19,
2015-05-20,
2015-05-21,
2015-05-22,
2015-05-23,
2015-05-24,
2015-05-25,14398
2015-05-26,
2015-05-27,
2015-05-28,
2015-05-29,
2015-05-30,
2015-05-31,
2015-06-01,
2015-06-02,
2015-06-03,
2015-06-04,
2015-06-05,
2015-06-06,
2015-06-07,11433
2015-06-08,
2015-06-09,17618
2015-06-10,
2015-06-11,
2015-06-12,
2015-06-13,11517
2015-06-14,11738
2015-06-15,
2015-06-16,
2015-06-17,
2015-06-18,
2015-06-19,
2015-06-20,
2015-06-21,
2015-06-22,15283
2015-06-23,
2015-06-24,
2015-06-25,16223
2015-06-26,14978
2015-06-27,
2015-06-28,11070
2015-06-29,
2015-06-30,
2015-07-01,
2015-07-02,
2015-07-03,13894
2015-07-04,10213
2015-07-05,
2015-07-06,
2015-07-07,
2015-07-08,
2015-07-09,
2015-07-10,
2015-07-11,
2015-07-12,
2015-07-13,
2015-07-14,
2015-07-15,
2015-07-16,
2015-07-17,
2015-07-18,
2015-07-19,
2015-07-20,
2015-07-21,
2015-07-22,
2015-07-23,20546
2015-07-24,23571
2015-07-25,
2015-07-26,
2015-07-27,
2015-07-28,
2015-07-29,
2015-07-30,
2015-07-31,
2015-08-01,
